"","Ozone","Solar.R","Wind","Temp","Month","Day"
"AQrecord 1",41,190,7.4,67,5,1
"AQrecord 2",36,118,8,72,5,2
"AQrecord 3",12,149,12.6,74,5,3
"AQrecord 4",18,313,11.5,62,5,4
"AQrecord 7",23,299,8.6,65,5,7
"AQrecord 8",19,99,13.8,59,5,8
"AQrecord 9",8,19,20.1,61,5,9
"AQrecord 12",16,256,9.7,69,5,12
"AQrecord 13",11,290,9.2,66,5,13
"AQrecord 14",14,274,10.9,68,5,14
"AQrecord 15",18,65,13.2,58,5,15
"AQrecord 16",14,334,11.5,64,5,16
"AQrecord 17",34,307,12,66,5,17
"AQrecord 18",6,78,18.4,57,5,18
"AQrecord 19",30,322,11.5,68,5,19
"AQrecord 20",11,44,9.7,62,5,20
"AQrecord 21",1,8,9.7,59,5,21
"AQrecord 22",11,320,16.6,73,5,22
"AQrecord 23",4,25,9.7,61,5,23
"AQrecord 24",32,92,12,61,5,24
"AQrecord 28",23,13,12,67,5,28
"AQrecord 29",45,252,14.9,81,5,29
"AQrecord 30",115,223,5.7,79,5,30
"AQrecord 31",37,279,7.4,76,5,31
"AQrecord 38",29,127,9.7,82,6,7
"AQrecord 40",71,291,13.8,90,6,9
"AQrecord 41",39,323,11.5,87,6,10
"AQrecord 44",23,148,8,82,6,13
"AQrecord 47",21,191,14.9,77,6,16
"AQrecord 48",37,284,20.7,72,6,17
"AQrecord 49",20,37,9.2,65,6,18
"AQrecord 50",12,120,11.5,73,6,19
"AQrecord 51",13,137,10.3,76,6,20
"AQrecord 62",135,269,4.1,84,7,1
"AQrecord 63",49,248,9.2,85,7,2
"AQrecord 64",32,236,9.2,81,7,3
"AQrecord 66",64,175,4.6,83,7,5
"AQrecord 67",40,314,10.9,83,7,6
"AQrecord 68",77,276,5.1,88,7,7
"AQrecord 69",97,267,6.3,92,7,8
"AQrecord 70",97,272,5.7,92,7,9
"AQrecord 71",85,175,7.4,89,7,10
"AQrecord 73",10,264,14.3,73,7,12
"AQrecord 74",27,175,14.9,81,7,13
"AQrecord 76",7,48,14.3,80,7,15
"AQrecord 77",48,260,6.9,81,7,16
"AQrecord 78",35,274,10.3,82,7,17
"AQrecord 79",61,285,6.3,84,7,18
"AQrecord 80",79,187,5.1,87,7,19
"AQrecord 81",63,220,11.5,85,7,20
"AQrecord 82",16,7,6.9,74,7,21
"AQrecord 85",80,294,8.6,86,7,24
"AQrecord 86",108,223,8,85,7,25
"AQrecord 87",20,81,8.6,82,7,26
"AQrecord 88",52,82,12,86,7,27
"AQrecord 89",82,213,7.4,88,7,28
"AQrecord 90",50,275,7.4,86,7,29
"AQrecord 91",64,253,7.4,83,7,30
"AQrecord 92",59,254,9.2,81,7,31
"AQrecord 93",39,83,6.9,81,8,1
"AQrecord 94",9,24,13.8,81,8,2
"AQrecord 95",16,77,7.4,82,8,3
"AQrecord 99",122,255,4,89,8,7
"AQrecord 100",89,229,10.3,90,8,8
"AQrecord 101",110,207,8,90,8,9
"AQrecord 104",44,192,11.5,86,8,12
"AQrecord 105",28,273,11.5,82,8,13
"AQrecord 106",65,157,9.7,80,8,14
"AQrecord 108",22,71,10.3,77,8,16
"AQrecord 109",59,51,6.3,79,8,17
"AQrecord 110",23,115,7.4,76,8,18
"AQrecord 111",31,244,10.9,78,8,19
"AQrecord 112",44,190,10.3,78,8,20
"AQrecord 113",21,259,15.5,77,8,21
"AQrecord 114",9,36,14.3,72,8,22
"AQrecord 116",45,212,9.7,79,8,24
"AQrecord 117",168,238,3.4,81,8,25
"AQrecord 118",73,215,8,86,8,26
"AQrecord 120",76,203,9.7,97,8,28
"AQrecord 121",118,225,2.3,94,8,29
"AQrecord 122",84,237,6.3,96,8,30
"AQrecord 123",85,188,6.3,94,8,31
"AQrecord 124",96,167,6.9,91,9,1
"AQrecord 125",78,197,5.1,92,9,2
"AQrecord 126",73,183,2.8,93,9,3
"AQrecord 127",91,189,4.6,93,9,4
"AQrecord 128",47,95,7.4,87,9,5
"AQrecord 129",32,92,15.5,84,9,6
"AQrecord 130",20,252,10.9,80,9,7
"AQrecord 131",23,220,10.3,78,9,8
"AQrecord 132",21,230,10.9,75,9,9
"AQrecord 133",24,259,9.7,73,9,10
"AQrecord 134",44,236,14.9,81,9,11
"AQrecord 135",21,259,15.5,76,9,12
"AQrecord 136",28,238,6.3,77,9,13
"AQrecord 137",9,24,10.9,71,9,14
"AQrecord 138",13,112,11.5,71,9,15
"AQrecord 139",46,237,6.9,78,9,16
"AQrecord 140",18,224,13.8,67,9,17
"AQrecord 141",13,27,10.3,76,9,18
"AQrecord 142",24,238,10.3,68,9,19
"AQrecord 143",16,201,8,82,9,20
"AQrecord 144",13,238,12.6,64,9,21
"AQrecord 145",23,14,9.2,71,9,22
"AQrecord 146",36,139,10.3,81,9,23
"AQrecord 147",7,49,10.3,69,9,24
"AQrecord 148",14,20,16.6,63,9,25
"AQrecord 149",30,193,6.9,70,9,26
"AQrecord 151",14,191,14.3,75,9,28
"AQrecord 152",18,131,8,76,9,29
"AQrecord 153",20,223,11.5,68,9,30
